Example,Class Name
quem vai comer o porco?,porco_morto
Isso por acaso é arte?,dúvida_obra
quanto pesa o porco?,peso_porco
Será que Nelson era vegetariano ou vegano?,alimentação_autor
Porque o pintor desenhou um porco?,razão_porco
Qual é o estilo dessa gravura?,estilo_obra
Em que período histórico foi pintada?,obra_contexto_histórico
Qual é o seu destino?,história_porco
Qual será o seu destino ?,história_porco
O porco é de verdade?,tipo_obra
Aquilo e um porco?,tipo_obra
Isso é uma pintura ou fotografia?,tipo_obra
É uma foto ou um quadro ? ,tipo_obra
isso é uma foto?,tipo_obra
Qual a história desse artista?,biografia_autor
Porque um porco e nao um cachorro ou outro animal. O que mudaria seria fosse outro animal?,razão_porco
Por que pintar um porco e não outro animal?,razão_porco
qual a relacao do autor com animais de criacao?,sem_resposta
Este animal estava vivo durante a pintura da obra?,porco_morto
o porco está vivo?,porco_morto
Soltaram ele depois?,porco_morto
porque o porco ta preso? será que ele tem dores?,porco_preso
Porque o povo está fechado e uma caixa,porco_preso
É um porco de estimação?,história_porco
Qual é o origem do porco?,história_porco
De onde veio esse porco?,história_porco
O que aconteceu como porco?,história_porco
O porco será abatido?,história_porco
Por que um porco e não outro animal?,razão_porco
Porque foi escolhido um porco?,razão_porco
O que houve com o porco depois da foto?,história_porco
Por que o porco parece sujo?,sem_resposta
Qual é o estilo da obra?,estilo_obra
Que tipo de arte é essa?,estilo_obra
Que tipo de arte é considerada esta ?,estilo_obra
Como você veio parar neste museu?,transporte_porco
Para onde será levado?,transporte_porco
Porque isso é considerado obra de arte?,dúvida_obra
Isso é considerado 'obra de arte'? ,dúvida_obra
Isso é mesmo uma obra de arte ?,dúvida_obra
Até quando vou poder vê-lo aqui neste museu?,endereço_obra
Essa obra está permanentemente exposta na galeria?,endereço_obra
Onde fica esta galeria?,endereço_obra
Esta indo pra o abatedouro?,história_porco
Qual o período dessa arte?,data_obra
Você conhece a Peppa Pig?,relação_peppa_pig
Porque você está preso?,porco_preso
Onde foi exposto,exposição_obra_outros_museus
isso é uma obra de arte?,dúvida_obra
Qual é o sentido desta obra?,intenção_autor
Qual é o origem do porco?,história_porco
Como se sente?,sentimento_porco
"Porquinho, desculpe a humanidade por fazer isso com você?",sem_resposta
É um javali,raça_ porco
Isso é um porco ou um javali?,raça_ porco
Quantos quilos de bacon temos em um porco?,peso_porco
Ele não tem comida?,sem_resposta
De onde o porco veio?,história_porco
você foi capturado na mata?,história_porco
Esse porco é macho capado?,sexo_porco
Quem foi Nelson Leirner? ,biografia_autor
Quem é Nelson Leirner?,biografia_autor
Quem é Nelson Leirner?,biografia_autor
Quem é Nelson Leirner?,biografia_autor
Quem foi Nelson Leirner ?,biografia_autor
Quem foi Nelson Leirner?,biografia_autor
Me conte mais sobre Nelson Leirner,biografia_autor
Quem foi Nelson Leirner?,biografia_autor
quem foi Nelson Leirner?,biografia_autor
Está com medo?,sentimento_porco
Como se sente tão prisioneiro?,sentimento_porco
Você gosta de gente?,sentimento_porco
"Coitadinho, voce nao tem dó!?",sem_resposta
qual é o seu nome?,nome_porco
Voce tem nome ?,nome_porco
Por que não está apoiada no chão?,sem_resposta
quanto pesa esse porco?,peso_porco
Você esta triste?,sentimento_porco
Você quer sair da ai?,sentimento_porco
Ele está transmitindo tristeza?,sentimento_porco
A mensagem deste quadro é a favor ou contra os animais?,intenção_autor
O animal da obra simboliza o que?,intenção_autor
O artista retratou a opressão e confinamento?,intenção_autor
Qual é o sentimento do pintor em relação ao porco? ,intenção_autor
Como era sua vida antes desse momento?,sem_resposta
Porque o animal esta preso?,porco_preso
Porque você esta preso?,porco_preso
Como o nome dele?,nome_porco
O porco confinado num espaço tão pequeno... O pintor estaria chamando a atenção para como as pessoas estão vivendo?,intenção_autor
o que ele quer passar com essa obra?,intenção_autor
Palmeira tem mundial?,palmeiras_porco
De onde é o artista?,nascimento_autor
Onde nasceu o artista?,nascimento_autor
Quando nasceu o artista?,nascimento_autor
Podemos classificar esta obra como arte moderna? Por que?,estilo_obra
Porque eu. Está sendo apresentado dentro de um caixote,intenção_autor
de onde vc veio?,história_porco
Quanto tempo levou para montar essa peça?,duração_obra
quanto tempo levou para fazer?,duração_obra
Qual era a intenção dessa obra,intenção_autor
O que é um pouco está encalhado,técnica_obra
Porque esse espaço tão pequeno para o porco ficar?,intenção_autor
Quais outras obras famosas são de Nelson Leiner?,outras_obras
Quanto tempo o porco esta nessa caixa?,Tempo_porco_caixa
Este porco está morto?,porco_morto
por que o porco está sozinho?,sem_resposta
Que é um porco,sobre_porco
Então é desse porque o que saiu bem com,sem_compreensão
Você é um pouco uma choperia,sem_compreensão
Qual o movimento estava occorendo quando foi criada a obra?,estilo_obra
Foi criada,data_obra
o porco tem cheiro?,sem_resposta
Essa caixa não é pequena para você?,caixa_porco
Esse caixote não e pequeno para ele?,caixa_porco
e uma fotografia  ?,tipo_obra
O que é isso? Um quadro? Uma fotografia?,tipo_obra
Quais premissas esse trabalho instala na arte contemporânea brasileira? ,importância_obra
Onde essa obra está exposta?,endereço_obra
Quais as influencias dos artistas?,influências_autor
Porque amiga da Pepa,relação_peppa_pig
Não me atendeu,sem_compreensão
Qual foi a justificativa pra,sem_compreensão
O que que expor está fedem no,sem_compreensão
Porque tem um povo aqui,sem_compreensão
Existem outros porcos Zinho outras galerias um museu,sem_compreensão
Por que a gaiola é tão pequena?,caixa_porco
Qual tamanho que eu for com,sem_compreensão
A qual período literário esta obra pertence?,estilo_obra
Ele ganhou algum prêmio recentemente?,prêmio_autor
A forma como a caixa está montada tem um significado?,sem_resposta
O que ele faz ai dentro preso?,porco_preso
O que esse porco preso representa?,porco_preso
O que significa este porco preso?,porco_preso
P que significa isso?,intenção_autor
qual o significado disso?,intenção_autor
porque voce desenhou um porco ? qual o significado?,intenção_autor
qual o significado,intenção_autor
qual o significado dessa pintura?,intenção_autor
Qual o significado do quadro?,intenção_autor
O que significa ter um porco dentro de um caixote?,intenção_autor
O que significa um porco gordo enjaulado em uma prisão de madeira,intenção_autor
Qual o significado da tela?,intenção_autor
Qual o significado do porco?,intenção_autor
O que significa essa foto?,intenção_autor
O que esta obra de arte significa?,intenção_autor
qual o significado desta arte?,intenção_autor
O que significa esta imagem?,intenção_autor
o que significa?,intenção_autor
qual o significado desta obra de arte?,intenção_autor
Por que ele está preso?,porco_preso
Por quê este porco está preso dentro da caixa?,porco_preso
Por que o animal está preso?,porco_preso
Essa obra foi exibida internacionalmente?,exposição_internacional_obra
O porco está sendo vendido ou simplesmente preso?,história_porco
Por que o animal estava preso?,porco_preso
por que o porco está preso ?,porco_preso
Por que o Porco está preso ? ,porco_preso
Por que o porco esta preso?,porco_preso
por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
Porque está preso em um espaço tão pequeno?,porco_preso
Porque o porco esta preso em uma jaula de madeira ?,porco_preso
Porque o porco está preso nesta caixa ?,porco_preso
Porque o porco está preso?,porco_preso
Porque o porquinho esta preso?,porco_preso
Porque vc está preso ?,porco_preso
Porque você foi preso nessa caixa?,porco_preso
qual o significado desse porco preso?,porco_preso
Qual o significado do porco preso? ,porco_preso
Quanto tempo vc está preso ?,Tempo_porco_caixa
O que significa este porco nesta caixa?,porco_preso
Qual o endereço da galeria Roger Wright?,endereço_obra
Qual o processo de pintura?,técnica_obra
Isso é uma fotografia ou uma pintura?,tipo_obra
"Isto é uma pintura, um quadro ou um porco de verdade? Qual a intenção do artista?",tipo_obra
Isso é uma pintura ou uma fotografia?,tipo_obra
Isso é uma pintura ou uma fotografia?,tipo_obra
isso é uma pintura?,tipo_obra
Isso é uma pintura ou uma fotografia?,tipo_obra
Este quadro é uma pintura ou uma foto?,tipo_obra
Isso é um pintura?,tipo_obra
Isso é uma fotografia ou pintura ? ,tipo_obra
Isto é uma pintura ou foto?,tipo_obra
isto é uma instalação ou uma pintura ?,tipo_obra
isso é uma pintura?,tipo_obra
É pintura ou é real?,tipo_obra
É pintura ou é uma foto?,tipo_obra
É uma pintura ou é uma foto real ?,tipo_obra
é um palmeirense preso?,palmeiras_porco
Isso é arte?,dúvida_obra
Isso é arte?,dúvida_obra
Isso é arte?,dúvida_obra
Esse tipo de instalação pode ser considerado arte?,dúvida_obra
Qual é o estilo da obra?,estilo_obra
Que estilo de arte  esta obra se enquandra?,estilo_obra
quantos anos tem esse porco?,idade_porco
Qual foi a técnica utilizada?,técnica_obra
Por qual motivo um porco preso em uma caixa pode ser considerada arte?,dúvida_obra
Onde fica a Galeria Roger Wright?,endereço_obra
Por que essa foto é uma arte?,dúvida_obra
Como este porco foi enjaulado?,sem_resposta
o porco é de verdade?,tipo_obra
Qual o estilo artístico desta obra?,estilo_obra
Qual o movimento artistico essa pintura faz parte?,estilo_obra
Existe algum movimento artistico onde esta obra se encaixa?,estilo_obra
Em que ano foi pintado?,data_obra
Em que ano esta obra foi pintada?,data_obra
Quando ela foi exposta a primeira vez?,exposição_obra_outros_museus
De onde é o artista? Qual é o ano da obra? ,nascimento_autor
O porco ficou preso enquanto o artista pintava?,tipo_obra
qual a tecnica utilizada nesta obra?,técnica_obra
Por que este pintor pintou um porco preso em um caixote?,porco_preso
Qual a relevância do animal vivo preso em uma jaula?,porco_preso
O que você está fazendo dentro das grades,porco_preso
Esse é um porco empalhado,tipo_obra
Quantos anos tinha o pintor quando pintou a tela?,biografia_autor
Porque o porco está presa,porco_preso
O que é sobra significa,intenção_autor
O pintor era fazendeiro ou prezava pelo tratamento aos animais?,sem_resposta
ele é um cofrinho gigante?,tipo_obra
Você é um porco,tipo_obra
esse porco seria vendido ou estava em cativeiro?,história_porco
Quais são os seus ancestrais?,evolução_porco
Qual a linha de evolução deste porco?,evolução_porco
O Nelson lembro fez alguma outra obra com bicho empalhado,outras_obras
Qual o periodo da obra?,data_obra
Nelson Leirner é vegetariano?,alimentação_autor
O artista é vegetariano?,alimentação_autor
é de madeira?,caixa_porco
Quantos anos você tem?,idade_porco
Quantos anos tem o porco?,idade_porco
Esse porco tem quantos anos?,idade_porco
Qual o ano de nascimento desse animal? ,idade_porco
Qual o nome desta obra?,nome_obra
Quem é Nelson Lerner,biografia_autor
 Qual a técnica utilizada?,técnica_obra
Porque o porco estava preso?,porco_preso
Porque vc esta preso ?,porco_preso
Porque você esta preso?,porco_preso
Porquinho aonde você pensa em ir,sem_resposta
O que você vez para estar preso ?,história_porco
O que esta obra representa?,intenção_autor
o que isto representa?,intenção_autor
O que o autor quis mostrar com essa figura?,intenção_autor
Onde o autor da obra estava quando pensou nesta obra e o porquê desta obra?,intenção_autor
Seria um protesto?,intenção_autor
O que o artista quis dizer com essa obra?,intenção_autor
quem fez,autor_obra
a técnica de pintura dele tem algum nome ou classificacao,técnica_obra
Por que o porco está preso?,porco_preso
Porque o porco está preso?,porco_preso
Por que este porco está ai?,porco_preso
Por que não soltam o porco?,porco_preso
Por que prenderam o porco?,porco_preso
qual o peso ?,peso_porco
isso é arte?,dúvida_obra
vc é amigo da peppa pig?,relação_peppa_pig
O autor era vegetariano?,alimentação_autor
Qual a raça desse animal? ,raça_ porco
Que tipo de porco é esse?,raça_ porco
Por que um porco?,razão_porco
Porque esta obra é considerada arte?,dúvida_obra
O que o artista imaginou que as pessoas sentiriam quando vissem essa obra de arte?,intenção_autor
Quem fez,autor_obra
Qual a arte relacionada a manter um porco preso ?,dúvida_obra
Qual é nome da obra ?,nome_obra
O porco estava vivo?,porco_morto
o porco ta vivo?,porco_morto
Por que o porco esta preso ? ,porco_preso
Por que o porco está preso?,porco_preso
Por que o porco está preso?,porco_preso
Porque o porco está preso ? ,porco_preso
conhece a peppa?,relação_peppa_pig
esse porco veio de alguma fazenda?,história_porco
Porque o porco está dentro da caixa? ,porco_preso
O que te motivou a colocar um animal em uma gaiola?,porco_preso
por que o porco está de castigo?,porco_preso
por que prenderam o porco?,porco_preso
Que técnica foi utilizada?,técnica_obra
descreva sobre obra,intenção_autor
você conhece a Pepa Pig?,relação_peppa_pig
de onde veio o porco?,história_porco
isto é arte?,dúvida_obra
De qual cidade você veio?,local_criação_obra
Em que país a obra foi produzida?,local_criação_obra
Para onde ele está indo?,transporte_porco
Para onde esse porco esta sendo transportado?,transporte_porco
Não existe maldade nessa imagem?,porco_morto
Foi legal separar,sem_compreensão
Você é um porco é uma Boletta,sem_compreensão
Tem que segurar aqui né,sem_compreensão
E desenhos com a com a com as,sem_compreensão
Que frescura cores,sem_compreensão
Tão pequeno,sem_compreensão
Porque ela ganhou,sem_compreensão
Pode pá,sem_compreensão
Oi,sem_compreensão
Você é meio da fé Fabi,sem_compreensão
Qual foi inspiração do artista pra essa obra do porco,intenção_autor
porque um porco?,razão_porco
Quais materiais usados na obra?,técnica_obra
Qual a critica da pintura?,intenção_autor
o que quer dizer esse quadro?,intenção_autor
me explica esse quadro,intenção_autor
Essa obra é uma critica ou uma constatação?,intenção_autor
O que o Nelson Leirner quis dizer com esta obra?,intenção_autor
qual o conceito?,intenção_autor
qual o segnificado da obra ?,intenção_autor
Qual o propósito da obra?,intenção_autor
Qual a intenção por detrás desta obra?,intenção_autor
qual a motivaçao de fazer essa obra?,intenção_autor
Isso é uma crítica a forma como vivemos hoje em dia?,intenção_autor
"Se a arte é o reflexo do contexto sócio-econômico de uma época, o que pretendia o artista ao apresentar um caixote de madeira de feira com um porco dentro? Qual a relação do porco com a sociedade humana nesse contexto?",intenção_autor
Porque um porco em um caixote?,intenção_autor
Qual a intenção do artista ao representar isso ?,intenção_autor
Qual possivel inspiracão o autor teve?,intenção_autor
Qual o objetivo da obra?,intenção_autor
Que sentimento inspirou o artista?,intenção_autor
qual o sentimento quer expressar? qual a reflexao? ,intenção_autor
Ele queria causar algum impacto?,intenção_autor
Há alguma espécie de crítica social relacionada a obra? ,intenção_autor
Qual simbologia disso?,intenção_autor
Qual foi a inspiração para a obra?,intenção_autor
Qual foi a inspiração?,intenção_autor
como um porco pode ser arte ?,dúvida_obra
O que é isso ?,tipo_obra
O que é isso dentro da caixa?,tipo_obra
Esse porco é de verdade?,tipo_obra
Por que estes materiais foram utilizados?,técnica_obra
O que é isso?,tipo_obra
É um porco de verdade?,tipo_obra
Esse porco é de verdade?,tipo_obra
Esta obra é modernista?,estilo_obra
Esta obra é modernista?,estilo_obra
O autor utilizou um modelo real,tipo_obra
Porque ele fica nessa galeria ? ,sem_resposta
Quem é o autor da obra?,autor_obra
quem é o autor?,autor_obra
Quem é o autor ?,autor_obra
O que o autor quis retratar?,intenção_autor
O que o autor quer mostrar com a obra?,intenção_autor
Qual é o intuito do autor da obra?,intenção_autor
o que o autor queria expressar com esta obra?,intenção_autor
O que o autor da obra quer dizer ao observador?,intenção_autor
O que o autor quis mostrar com esta obra?,intenção_autor
que sentimentos o autor queria expressar?,intenção_autor
Qual era a inspiração do autor?,intenção_autor
o que isso representa na visao do autor? ,intenção_autor
o que o autor quis retratar?,intenção_autor
"Nao entendi o sentido dessa obra, no que o autor estava pensando?",intenção_autor
O porco ainda está vivo?,porco_morto
A obra tem ligação com direitos dos animais?,intenção_autor
Esse quadro representa os maltratos aos animais? ,intenção_autor
Qual a referencia da obra,intenção_autor
A idéia era provocar as pessoas pela forma cruel que tratamos os animais?,intenção_autor
Qual a ideia dessa gravura?,intenção_autor
Esta obra transmite uma tristeza ou prisão?,intenção_autor
O que representa o Porco?,intenção_autor
O que o artista quis expressar com a obra?,intenção_autor
qual o foi o proposito dessa pintura ?,intenção_autor
Qual a mensagem que esta obra quer passar?,intenção_autor
É uma foto ou pintura?,tipo_obra
A obra é uma foto?,tipo_obra
É uma foto ou fintura?,tipo_obra
o porco está morto ?,porco_morto
O porco está morto?,porco_morto
O que aconteceu com o porco?,história_porco
o porco vai morrer?,porco_morto
Por que um porco?,razão_porco
pq um porco?,razão_porco
o que ele faz em uma caixa ?,porco_preso
que deprimente ! porque um porco no caixote ?,intenção_autor
Por que o porco está na caixa?,porco_preso
por que tem um porco dentro da caixa?,porco_preso
porqua esta dentro desta caixa?,porco_preso
Porque tem um porco numa caixa?,porco_preso
Por que alguém prenderia um porco ?,porco_preso
Por que o porco está dentro da gaiola?,porco_preso
Por que o porco está enjaulado ?,porco_preso
Por que o porco está trancado?,porco_preso
Porque o porco está enjaulado?,porco_preso
Tristeza,sentimento_porco
Qual sua estória de  vida ?,história_porco
Esse porco é o retrato real de algum bichinho existente ? De quem seria esse porco ?,história_porco
De quem era este porco?,história_porco
Qual o motivo do porco estar ali ?,história_porco
É uma boa ideia retratar isso?,sem_resposta
O que esta obra procura expressar?,intenção_autor
Qual ponto de vista o artista quis retratar?,intenção_autor
O que simboliza essa arte ?,intenção_autor
O que representa? ,intenção_autor
Porquê esta obra foi feita?,intenção_autor
"Nelson teve a intenção de chamar a atenção para algum problema quanto ao consumisto, trato com animais?",intenção_autor
qual a mensagen dessa obra?,intenção_autor
O que representa?,intenção_autor
qual a mensagem que o pintor queria passar?,intenção_autor
Qual a motivação da obra?,intenção_autor
Que sentimento expressa essa imagem ?,intenção_autor
qual a intençao dessa obra?,intenção_autor
O que quer dizer este porco? ,intenção_autor
O que representa a pintura?,intenção_autor
O que essa obra representa ?,intenção_autor
Como devo interpretar esta obra?,intenção_autor
qual foi a inspiração para isso?,intenção_autor
A intenção era chocar com a cena do animal confinado num espaço tão pequeno?,intenção_autor
Qual era o proposito dessa obra ?,intenção_autor
palmeiras?,palmeiras_porco
De onde é o autor?,nascimento_autor
E a peppa?,relação_peppa_pig
O autor é de qual nacionalidade?,nascimento_autor
Por que a foto de um porco ?,razão_porco
Por que escolheu o porco especificamente?,razão_porco
"por que um porco, não uma galinha?",razão_porco
Por que um porco?,razão_porco
onde está esse porco?,endereço_obra
Por que foi fotografado um porco em uma caixa?,porco_preso
porque o artista fez um porco dentro de uma caixa?,porco_preso
Para que a jaula?,porco_preso
por que está num caixote?,porco_preso
Do que é feita essa obra,técnica_obra
O porco é de verdade?,tipo_obra
O que é isso?,tipo_obra
O que é isso?,tipo_obra
o que é isso?,tipo_obra
por que o artista pintou isso?,intenção_autor
O que deu a ideia?,intenção_autor
O que o pintor quis transmitir com essa imagem?,intenção_autor
Por que representar um porco aprisionado?,intenção_autor
que mensagem o pintor quis passar?,intenção_autor
O que essa obra representa?,intenção_autor
O que isso representa?,intenção_autor
O que o artista quer dizer?,intenção_autor
Qual é a intenção do pintor neste quadro?,intenção_autor
O que o artista quis demostrar?,intenção_autor
Qual a mensagem por tras dessa arte?,intenção_autor
Qual o propósito desta obra de arte?,intenção_autor
Esse quadro é uma manifestação contra a alimentação de carne animal?,intenção_autor
Qual o sentido dessa representação?,intenção_autor
A qual movimento artístico pertencia Nelson Leirner?,estilo_obra
Foi usado um porco de verdade?,tipo_obra
e um porco?,tipo_obra
Qual animal é esse?,tipo_obra
Esse porco vai morrer?,tipo_obra
É real ou escultura?,tipo_obra
Qual material foi usado para a obra?,técnica_obra
Que materiais foram usados na confecção da obra?,técnica_obra
de onde esse artista é,nascimento_autor
O porco está vivo ou é empalhado?,porco_morto
O porco está vivo?,porco_morto
O porco está vivo?,porco_morto
a obra é uma foto ou instalação?,tipo_obra
Quem era o presidente do Brasil?,presidente_época
Quem governava o Brasil quando essa obra foi feita?,presidente_época
Quem governava o país nessa época?,presidente_época
é um porco ou um javali ali dentro? ,raça_ porco
qual a importância de Nelson Leirner na cultura brasileira?,importância_autor
O porco está vivo?,porco_morto
Ele vai ser solto?,porco_morto
Porque o porco está sem comida?,sem_resposta
Qual foi a inspiração do artista plástico para produzir esta obra?,intenção_autor
De que época é esta obra?,data_obra
Você vai morrer?,porco_morto
Isso nao seria crueldade animal?,porco_morto
Não era crime manter os animais presos em locais tão pequenos na epoca em que o quadro foi pintado?,porco_morto
Por que o porco está em uma caixa?,porco_preso
